1;Angostura;Liter;70,4
2;Apricot brandy;Liter;17,07
3;Aquavit;Liter;25,55
4;Asbach uralt;Liter;25,8
5;Banyuls;Liter;21,81
6;Benedictine;Liter;39,042
7;Bressac cognac;Liter;19,66
8;Chartreuse groen;Liter;56,428
9;Cider;Liter;9,5
10;Curacao blue;Liter;15,47
11;Curacao orange;Liter;24,157
12;Drambuie;Liter;34,8
13;Eau de vie absinth;Liter;52,75
14;Eau de vie de framboise;Liter;47,33
15;Eau de vie de kirsch;Liter;34,9
16;Eau de vie de lijsterbes;Liter;80,35
17;Eau de vie de mirabelle;Liter;33,79
18;Eau de vie de poire;Liter;34,26
19;Eau de vie de quetsch;Liter;55,87
20;Eau de villee;Liter;43,57
21;Elexir d'anvers;Liter;31,7
22;Funny blue alcoholvrij;Liter;8,44
23;Graanjenever 5jr;Liter;26,34
24;Jenever appel;Liter;17,11
25;Jenever bessen;Liter;17,11
26;Jenever passievruchten;Liter;16,64
27;Jenever Wortegemse;Liter;16,12
28;Kahlua;Liter;21,5
29;La chouffe café;Liter;23,26
30;Licor 43;Liter;19,99
31;Likeur appel;Liter;15,24
32;Likeur banaan;Liter;16,23
33;Likeur bosaardbei;Liter;23,76
34;Likeur limoen;Liter;33,5
35;Likeur perzik;Liter;15,08
36;Likeur vlierbloesem;Liter;27,38
37;Lillet rood;Liter;16,79
38;Lillet rosé;Liter;16,79
39;Lillet wit;Liter;16,45
40;Marachino;Liter;29,34
41;Marc de champagne;Liter;39,17
42;Marc de gewurztraminer;Liter;44,78
43;Martini dry;Liter;9,65
44;Peche mignon;Liter;30,64
45;Pisco;Liter;40,27
46;Pommeau de normandie;Liter;17,61
47;Porto niepoort ruby;Liter;14,27
48;Porto niepoort tawny;Liter;13,26
49;Pure alcohol;Liter;41,51
50;Rijstwijn mirin ;liter;12,4
51;Saké;Liter;23,36
52;Sherry amontilado;Liter;18,92
53;Sherry cream;Liter;19,65
54;Sherry pedro ximenez 30 jr;Liter;55,6
55;Southern comfort;Liter;25,81
56;Tia maria;Liter;23,74
57;Vermout del profesore rood;Liter;33,04
58;Vermout lusteau wit;Liter;24,52
59;Whisky bourbon;Liter;23,44
60;Whisky jack daniels;Liter;26,85
61;Whisky single malt;Liter;53,44
62;Wodka citroen;Liter;37,34
63;Palatinose;Kg;14,11
64;Sugar pearls isomalt;Kg;8,89
65;Suiker explosie;Kg;35,96
66;Suiker explosie chocolade;Kg;37,68
67;Zusto;Kg;10,65
68;Cacacoboter  belcolade;kg;17,55
69;Cacaokern nibs-s grué de cacao;Kg;17,92
70;Chocolade Caraibe 60%;Kg;22,02
71;Chocolade Gianduja;Kg;14,028
72;Chocolade Guanaja;Kg;19,63
73;Chocolade Ivoire;Kg;22,95
74;Chocolade Manjari;Kg;19,78
75;Mycryo 600g;kg;22,85
76;Deus;Liter;18,86
77;Fever tree tonic;Liter;5,54
78;Kidibull appel;Liter;5,86
79;Muskaatwijn;Liter;21,06
80;Zoete witte wijn;Liter;11,92
81;Aroma aardbei;Liter;71,91
82;Aroma amandel;Liter;69,65
83;Aroma limoen;Liter;71,91
84;Aroma framboos;Liter;94,35
85;Aroma lavendel;Liter;78,26
86;Aroma mokka ;Liter;59,74
87;Aroma oranjebloesem;Liter;9,4
88;Aroma vanille;Liter;75,52
89;Bloem semolina;Kg;5,09
90;Bloem tapioca;Kg;3,625
91;Bloem tempura;Kg;11,53
92;Bloem voor pizza 00;Kg;2,87
93;Feuilles de brick pakje à 10 st;Stuk;1,89
94;Feuilletine;Kg;16,61
95;Filodeeg 500g;Stuk;3,94
96;Florentine-mix;Kg;21,89
97;Gelatinepoeder;Kg;18,5
98;Goudblaadjes;Stuk;2,53
99;Goudpoeder;Kg;791,67
100;Hazelnoot gemalen;Kg;43,9
101;Kleurstof blauw vloeibaar;Liter;42,4
102;Kleurstof geel vloeibaar;Liter;42,4
103;Kleurstof goud poeder;Kg;791,6
104;Kleurstof groen vloeibaar;Liter;42,4
